wfo_ID,Familia,Column1,Nombre,Autor,Pub.,Hábito,Formaciones vegetales,Forma de vida,Link stand alone
wfo-0000055488,Compositae,Chrysolaena cognata (Less.) Dematt.,Chrysolaena cognata, (Less.) Dematt.,"Bol. Soc. Argent. Bot. 44(1-2): 157, 2009.",Hierba perenne,Herbazales psamófilos,Hemicriptófita,https://florauruguaya.org/taxonomias/chrysolaena-cognata
wfo-0000028553,Compositae,Chrysolaena flexuosa (Sims) H.Rob.,Chrysolaena flexuosa, (Sims) H.Rob.,"Proc. Biol. Soc. Washington 101(4): 956, 1988.",Hierba perenne,"Palmares, Pastizales xerófilos, Pastizales mesófilos, Herbazales psamófilos",Hemicriptófita,https://florauruguaya.org/taxonomias/chrysolaena-flexuosa
wfo-0000114817,Compositae,Chrysolaena platensis (Spreng.) H.Rob.,Chrysolaena platensis, (Spreng.) H.Rob.,"Proc. Biol. Soc. Washington 101(4): 957, 1988.",Sufrútice,"Bosques higrófilos, Pastizales higrófilos, Herbazales hidrófilos",,https://florauruguaya.org/taxonomias/chrysolaena-platensis
wfo-0000080671,Compositae,Cichorium intybus L.,Cichorium intybus, L.,"Sp. Pl. [Linnaeus] 2: 813, 1753.",Hierba perenne,"Ambientes ruderales, Ambientes urbanos, Algarrobales, Palmares, Pastizales mesófilos",Hemicriptófita,https://florauruguaya.org/taxonomias/cichorium-intybus
wfo-0000081703,Compositae,Cirsium vulgare (Savi) Ten.,Cirsium vulgare, (Savi) Ten.,"Fl. Napol. 5: 209, 1835.",Hierba anual o bienal,"Ambientes ruderales, Ambientes urbanos, Bosques ribereños, Algarrobales, Palmares, Matorrales xerófilos, Pastizales xerófilos, Pastizales mesófilos, Herbazales psamófilos",Terófita,https://florauruguaya.org/taxonomias/cirsium-vulgare
wfo-0000122557,Compositae,Cladanthus mixtus (L.) Chevall.,Cladanthus mixtus, (L.) Chevall.,"Fl. Gen. Env. Paris, ed. 2 2: 576, 1836.",Hierba anual o bienal,Ambientes ruderales,Terófita,https://florauruguaya.org/taxonomias/cladanthus-mixtus
wfo-0000060066,Compositae,Coleostephus myconis (L.) Rchb.f.,Coleostephus myconis, (L.) Rchb.f.,"Icon. Fl. Germ. Helv. [H.G.L. Reichenbach] 16: 49, 1853.",Hierba anual o bienal,"Ambientes ruderales, Ambientes urbanos, Palmares",Terófita,https://florauruguaya.org/taxonomias/coleostephus-myconis
wfo-0000073623,Compositae,Conyza blakei (Cabrera) Cabrera,Conyza blakei, (Cabrera) Cabrera,"Man. Fl. Alrededores Buenos Aires 481, 1953.",Hierba anual o bienal,Herbazales psamófilos,Terófita,https://florauruguaya.org/taxonomias/conyza-blakei
wfo-0000043751,Compositae,Conyza bonariensis (L.) Cronquist,Conyza bonariensis, (L.) Cronquist,"Bull. Torrey Bot. Club 70: 632, 1943.",Hierba anual o bienal,"Ambientes ruderales, Ambientes urbanos, Bosques ribereños, Algarrobales, Palmares, Pastizales xerófilos, Pastizales mesófilos",Terófita,https://florauruguaya.org/taxonomias/conyza-bonariensis
wfo-0000011555,Compositae,Conyza glandulitecta Cabrera,Conyza glandulitecta, Cabrera,"Bol. Soc. Argent. Bot. 14: 349, f. 2 , 1972.",Hierba anual o bienal,Herbazales hidrófilos,Terófita,https://florauruguaya.org/taxonomias/conyza-glandulitecta
wfo-0000027421,Compositae,Conyza lorentzii Griseb.,Conyza lorentzii, Griseb.,"Abh. Königl. Ges. Wiss. Göttingen 24: 176, 1879.",Hierba anual o bienal,"Algarrobales, Herbazales halófilos",Terófita,https://florauruguaya.org/taxonomias/conyza-lorentzii
wfo-0000006411,Compositae,Conyza macrophylla Spreng.,Conyza macrophylla, Spreng.,"Syst. Veg., ed. 16 [Sprengel] 3: 513, 1826.",Hierba perenne,Herbazales hidrófilos,,https://florauruguaya.org/taxonomias/conyza-macrophylla
wfo-0000096702,Compositae,Conyza monorchis (Griseb.) Cabrera,Conyza monorchis, (Griseb.) Cabrera,"Man. Fl. Alrededores Buenos Aires 480, 1953.",Hierba perenne,"Pastizales xerófilos, Pastizales mesófilos",Hemicriptófita,https://florauruguaya.org/taxonomias/conyza-monorchis
wfo-0000119717,Compositae,Conyza pampeana (Parodi) Cabrera,Conyza pampeana, (Parodi) Cabrera,"Man. Fl. Alrededores Buenos Aires 481, 1953.",Hierba anual o bienal,"Algarrobales, Pastizales higrófilos",Terófita,https://florauruguaya.org/taxonomias/conyza-pampeana
wfo-0000079607,Compositae,Conyza primulifolia (Lam.) Cuatrec. & Lourteig,Conyza primulifolia, (Lam.) Cuatrec. & Lourteig,"Phytologia 58: 475, 1985.",Hierba perenne,"Ambientes ruderales, Algarrobales, Palmares, Pastizales xerófilos, Pastizales mesófilos",Hemicriptófita,https://florauruguaya.org/taxonomias/conyza-primulifolia
