wfo_id,identifier,bibliographicCitation,creator,date,URL,coreId
wfo-0000213077,urn:kew.org:ftea:spec:ref:24761,Bak. in Flora of Tropical Africa 2: 57 (1871).,Bak.,1871,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:523702-1#bibliography,urn:lsid:ipni.org:names:523702-1
wfo-0000213077,urn:kew.org:ftea:spec:ref:24762,"Fiori in N. Giorn. Bot. Ital. n.s. 55: 346, fig. 23 (1949).",Fiori,1949,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:523702-1#bibliography,urn:lsid:ipni.org:names:523702-1
wfo-0000213077,urn:kew.org:ftea:spec:ref:24763,"Gillett in Kew Bulletin 7: 375, figs. 2/1–7 & 3 (1952)",Gillett,1952,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:523702-1#bibliography,urn:lsid:ipni.org:names:523702-1
wfo-0000213077,urn:kew.org:ftea:spec:ref:24764,"Gillett in Flore du Congo Belge et du Ruanda-Urundi, 4: 293 (1953)",Gillett,1953,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:523702-1#bibliography,urn:lsid:ipni.org:names:523702-1
wfo-0000213077,urn:kew.org:ftea:spec:ref:24765,"Gillett in Flora of West Tropical Africa, ed. 2, 1: 553 (1958).",Gillett,1958,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:523702-1#bibliography,urn:lsid:ipni.org:names:523702-1
wfo-0000213108,urn:kew.org:ftea:spec:ref:24766,"Harms in A. Engler, Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie 30: 324 (1901).",Harms,1901,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:523816-1#bibliography,urn:lsid:ipni.org:names:523816-1
wfo-0000213108,urn:kew.org:ftea:spec:ref:24767,Gillett in Kew Bulletin 7: 375 (1952),Gillett,1952,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:523816-1#bibliography,urn:lsid:ipni.org:names:523816-1
wfo-0000213108,urn:kew.org:ftea:spec:ref:24768,Gillett in Kew Bulletin 24: 217 (1970).,Gillett,1970,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:523816-1#bibliography,urn:lsid:ipni.org:names:523816-1
wfo-0000213050,urn:kew.org:ftea:spec:ref:24769,Fresen. in Flora 22: 50 (1839).,Fresen.,1839,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:523570-1#bibliography,urn:lsid:ipni.org:names:523570-1
wfo-0000213050,urn:kew.org:ftea:spec:ref:24770,"Bak. in Flora of Tropical Africa 2: 58 (1871), pro parte.",Bak.,1871,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:523570-1#bibliography,urn:lsid:ipni.org:names:523570-1
wfo-0000213050,urn:kew.org:ftea:spec:ref:24771,"Lanza, Pl. Erythr., t. 4 (1910).",Lanza,1910,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:523570-1#bibliography,urn:lsid:ipni.org:names:523570-1
