LocalID,WFOID,scientificName,Publishedin,Devnagari,transliteration,Ecology,Distribution
NEP10666,wfo-0001341908,Pseudocodon convolvulaceus (Kurz) D.Y.Hong & H.Sun,J. Syst. Evol. 52(5): 548. 2014. ,lGo–af ,Nyi-ba: Tibetan,"W, C, E Nepal: 2200-4200 m. ","Nepal, E Himalaya, Tibetan Plateau, S Asia, E Asia and SE Asia. "
NEP10668,wfo-0001346257,Pseudocodon grey-wilsonii (J.M.H.Shaw) D.Y.Hong ,J. Syst. Evol. 52(5): 548. 2014. ,,,"W, C, E Nepal: 2200-4300 m.","Nepal, E Himalaya and Tibetan Plateau."
NEP10672,wfo-0000819820,Wahlenbergia hirsuta (Edgew.) Tuyn ,Fl. Males. 6: 113. 1960.,,,"W, C Nepal: 1800-2600 m. ","Nepal, W Himalaya, E Himalaya, S Asia and Africa."
NEP10674,wfo-0000819728,Wahlenbergia marginata (Thunb.) A.DC. ,Monogr. Campan. 143. 1830. ,lgnf] l6s] ,Nilo tike,"W, C, E Nepal: 700-1400 m. ","Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. "
NEP10677,wfo-0000819428,Wahlenbergia peduncularis (Wall. ex A.DC.) Hook.f. & Thomson,"J. Proc. Linn. Soc., Bot. 2: 22. 1857.",,,"W, C Nepal: 900-2100 m. ",Nepal and W Himalaya.
NEP10679,wfo-0000450682,Menyanthes trifoliata L. ,Sp. Pl. 1: 145. 1753. ,,,W Nepal: 2800-2900 m. ,"Nepal, W Himalaya, Tibetan Plateau, E Asia, N Asia, C Asia, SW Asia and Europe. "
NEP10680,wfo-0000382479,Nymphoides hydrophylla (Lour.) Kuntze ,Revis. Gen. Pl. 2: 429. 1891.,,,E Nepal: 100-600 m. ,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia and SW Asia."
NEP10682,wfo-0000382493,Nymphoides indica (L.) Kuntze ,Revis. Gen. Pl. 2: 429. 1891.,,,"W, C Nepal: 100-600 m. ","Nepal, Assam-Burma, S Asia, E Asia, SE Asia and SW Asia."
NEP10684,wfo-0000068556,Acanthospermum hispidum DC. ,Prodr. 5: 522. 1836.,,,"W, C, E Nepal: 100-3700 m (Naturalized in Nepal). ",Native of S America. 
NEP10685,wfo-0000033731,Achillea alpina L. ,Sp. Pl. 2: 899. 1753. ,,,"C, E Nepal: 1200-2300 m. ","Nepal, E Asia and N Asia."
NEP10687,wfo-0000067526,Acilepis aspera (Buch.-Ham.) H.Rob. ,Proc. Biol. Soc. Washington 112(1): 226. 1999.,,,C Nepal: 200-1400 m. ,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia."
NEP10690,wfo-0000057209,Acilepis divergens (DC.) H.Rob. & Skvarla ,Proc. Biol. Soc. Washington 122(2): 140. 2009.,,,C Nepal: ,"Nepal, Assam-Burma, E Asia and SE Asia."
NEP10694,wfo-0000129967,Acilepis saligna (DC.) H.Rob.,Proc. Biol. Soc. Washington 112(1): 226. 1999.,,,C Nepal: 600-1500 m. ,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia."
NEP10697,wfo-0000130521,Acilepis squarrosa D.Don ,Prodr. Fl. Nepal. 169. 1825.,"k""mnL emf/ ",Fuli jhar,"W, C, E Nepal: 100-1600 m. ","Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. "
NEP10700,wfo-0000046195,Acmella calva (DC.) R.K.Jansen ,Syst. Bot. Monogr. 8: 41. 1985.,"hª h'aL{, d/7L ","Jang jurbi, Marathi","W, C, E Nepal: 100-2300 m. ","Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. "
NEP10702,wfo-0000134003,Acmella paniculata (Wall. ex DC.) R.K.Jansen ,Syst. Bot. Monogr. 8: 67. 1985. ,"d/]7f], nf6f] 3fF; ","Maretho, Lato ghans","W, C, E Nepal: 100-1100 m. ","Nepal, Assam-Burma, S Asia, E Asia, SE Asia and Australasia. "
NEP10705,wfo-0000077487,Acmella radicans (Jacq.) R.K.Jansen ,Syst. Bot. Monogr. 8: 69. 1985.,,,C Nepal: 100-1100 m (Naturalized in Nepal). ,Native of Central and South America; a widespread weed.
NEP10707,wfo-0000132960,Acmella uliginosa (Sw.) Cass. ,Dict. Sci. Nat. (ed. 2) 24: 331. 1822.,,,"C, E Nepal: 65-1200 m (Naturalized in Nepal). ",Native of Tropical America.
NEP10710,wfo-0000003501,Adenocaulon himalaicum Edgew. ,Trans. Linn. Soc. London 20(1): 64. 1846.,Ugfn]k ,Gnalep: Tibetan,"W, C, E Nepal: 1700-4000 m. ","Nepal, E Himalaya, Tibetan Plateau, E Asia and N Asia."
NEP10711,wfo-0000021903,Adenocaulon nepalense Bittmann,Candollea 45(1): 403. 1990.,,,"C, E Nepal: 2500-3800 m. ","Nepal, W Himalaya and E Himalaya."
