"                                 eFlora Nepal in World Flora Online (www.worldfloraonline.org).  Source:  Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal (Correspondence: ).",,,,,,,,,,,,,
Order,Family,Genera,Taxon ID,WFO_ID,Taxon names,Literature citation,Nepali name(s),,Distribution in Nepal,Plant images,,General/ global distribution,Comments
,,,,,,,Devnagari,Transliteration,,Plant photos,Herbarium specimen,,
,Aristolochiaceae ,,NEP00132,wfo-0001265365,Siphisia saccata (Wall.) Klotzsch,,,,,,,,
,Aristolochiaceae ,Asarum L.,NEP00133,wfo-0000550862,Asarum himalaicum Hook.f. & Thomson ex Klotzsch,Monatsber. Königl. Preuss. Akad. Wiss. Berlin 1: 585. 1859.,,,"C, E Nepal: 1300-3100 m.",,,"Nepal, E Himalaya, Tibetan Plateau and E Asia.",
,Aristolochiaceae ,,NEP00134,wfo-0001272014,Asarum himalaicum var. bhutanicum W.W.Sm.,,,,,,,,
MAGNOLIALES,Myristicaceae ,Horsfieldia Willd.,NEP00135,wfo-0000724865,Horsfieldia kingii (Hook.f.) Warb.,Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur. 68: 308. 1897. ,"jg ;'kf/L, /fdu'jf, ?Gr] kft","Ban supari, Ramguwa, Runche pat",E Nepal: 100-1300 m.,,,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. ",
,Myristicaceae ,,NEP00136,wfo-0001085277,Myristica kingii Hook.f.,,,,,,,,
,Myristicaceae ,Knema Lour.,NEP00137,wfo-0001285885,Knema tenuinervia W.J de Wilde,Blumea 25(2): 405. 1979.,/ftf] enfof] ,Rato bhalayo,E Nepal: 100-1500 m. ,,,"Nepal, E Himalaya, Assam-Burma, S Asia and E Asia.",
,Magnoliaceae ,Magnolia L.,NEP00138,wfo-0000233034,Magnolia campbellii Hook.f. & Thomson,Fl. Brit. India 1: 41. 1872.,"k'a]{nL rfFk, 3f]u] rfFk","Purbeli chanp, Ghoge chanp","C, E Nepal: 2000-2800 m. ",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia. ",
,Magnoliaceae ,,NEP00139,wfo-0000615202,Yulania campbellii (Hook.f. & Thomson) D.L.Fu,,,,,,,,
,Magnoliaceae ,,NEP00140,wfo-0000233054,Magnolia champaca (L.) Baill. ex Pierre,Fl. Forest. Cochinch. 1: t. 3. 1880.,";'g rfFk, cf}n] rfFk, l;d'{ ","Sun chanp, Aule chanp, Sirmu","C, E Nepal: 600-1900 m. ",,,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. ",
,Magnoliaceae ,,NEP00141,wfo-0000242718,Michelia champaca L.,,,,,,,,
,Magnoliaceae ,,NEP00142,wfo-0000464769,Magnolia doltsopa (Buch.-Ham. ex DC.) Figlar,Proc. Internat. Symp. Fam. Magnoliac. 21. 2000.,/fgL rfFk,Rani chanp,"C, E Nepal: 1900-2600 m. ",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia and E Asia.",
,Magnoliaceae ,,NEP00143,wfo-0000242733,Michelia doltsopa Buch.-Ham. ex DC.,,,,,,,,
,Magnoliaceae ,,NEP00144,wfo-0000233119,Magnolia excelsa Wall.,,,,,,,,
,Magnoliaceae ,,NEP00145,wfo-0000233165,Magnolia globosa Hook.f. & Thomson,Fl. Ind. 1: 77. 1855.,"v'ls rfFk, nfnL rfFk","Khuki chanp, Lali chanp",E Nepal: 2800-3400 m. ,,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia. ",
,Magnoliaceae ,,NEP00146,wfo-0000913858,Oyama globosa (Hook.f. & Thomson) N.H.Xia & C.Y.Wu,,,,,,,,
,Magnoliaceae ,,NEP00147,wfo-0000233202,Magnolia hodgsonii (Hook.f. & Thomson) H.Keng,Gard. Bull. Singapore 31(2): 129. 1978.,efn' sf7,Bhalu kath,"C, E Nepal: 900-1900 m. ",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia. ",
,Magnoliaceae ,,NEP00148,wfo-0000320611,Talauma hodgsonii Hook.f. & Thomson,,,,,,,,
,Magnoliaceae ,,NEP00149,wfo-0000233214,Magnolia insignis Wall.,"Tent. Fl. Napal. 1: 3, pl. 1. 1824.",jg sdn,Ban kamal,C Nepal: 1300-2700 m. ,,,"Nepal, W Himalaya, Assam-Burma, E Asia and SE Asia. ",
,Magnoliaceae ,,NEP00150,wfo-0000235353,Manglietia insignis (Wall.) Blume ,,,,,,,,
,Magnoliaceae ,,NEP00151,wfo-0000464882,Magnolia kisopa (Buch.-Ham. ex DC.) Figlar,Proc. Internat. Symp. Fam. Magnoliac. 22. 2000. ,jg rfFk,Ban chanp,"W, C, E Nepal: 1000-3000 m.",,,"Nepal, W Himalaya, E Himalaya and Tibetan Plateau. ",
,Magnoliaceae ,,NEP00152,wfo-0000242775,Michelia kisopa Buch.-Ham. ex DC.,,,,,,,,
,Magnoliaceae ,,NEP00153,wfo-0000302666,Sampacca kisopa (Buch.-Ham. ex DC.) Kuntze,,,,,,,,
,Magnoliaceae ,,NEP00154,wfo-0000464912,Magnolia lanuginosa (Wall.) Figlar & Noot.,Blumea 49(1): 96. 2004. ,"uf]un rfFk, ;'g rDkf","Gogal chanp, Sun champa","C, E Nepal: 300-2100 m. ",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia. ",
,Magnoliaceae ,,NEP00155,wfo-0000242782,Michelia lanuginosa Wall.,,,,,,,,
,Magnoliaceae ,,NEP00156,wfo-0000242856,Michelia velutina DC. ,,,,,,,,
,Magnoliaceae ,,NEP00157,wfo-0000302667,Sampacca lanuginosa (Wall.) Kuntze,,,,,,,,
,Annonaceae ,Alphonsea Roxb.,NEP00158,wfo-0000527383,Alphonsea ventricosa (Roxb.) Hook.f. & Thomson,Fl. Ind. 1: 152. 1855. ,"7]sL kmn, 9]F8' e'mnf","Theki phal, Dhendu jhula",E Nepal: 100-200 m.,,,"Nepal, Assam-Burma and S Asia. ",
,Annonaceae ,,NEP00159,wfo-0001066091,Uvaria ventricosa Roxb.,,,,,,,,
,Annonaceae ,Artabotrys R.Br.,NEP00160,wfo-0000549776,Artabotrys hexapetalus (L.f.) Bhandari,Baileya 12(4): 149. 1965.,sgs rDkf ,Kanak champa,"W, C Nepal: 100-1300 m (Cultivated/ naturalized in Nepal). ",,,Native range is S Asia to SE Asia. ,
,Annonaceae ,,NEP00161,wfo-0000537787,Annona hexapetala L.f.,,,,,,,,
,Annonaceae ,Desmos Lour.,NEP00162,wfo-0000642348,Desmos chinensis Lour.,Fl. Cochinch. 1: 352. 1790.,dfn] nx/f ,Male lahara,"C, E Nepal: 100-600 m.",,,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. ",
,Annonaceae ,Fissistigma Griff.,NEP00163,wfo-0000691125,Fissistigma bicolor (Roxb) Merr.,Philipp. J. Sci. 15: 131. 1919.,,,E Nepal: 300-400 m.,,,"Nepal, E Himalaya, Assam-Burma, S Asia and SE Asia.",
,Annonaceae ,,NEP00164,wfo-0000415931,Uvaria bicolor Roxb.,,,,,,,,
,Annonaceae ,,NEP00165,wfo-0000372499,Melodorum bicolor (Roxb.) Hook.f. & Thomson ,,,,,,,,
,Annonaceae ,,NEP00168,wfo-0001336655,Miliusa dioeca (Roxb.) Chaowasku & Kessler,Willdenowia 43: 104. 2013.,,,E Nepal: 100-400 m. ,,,"Nepal, E Himalaya, Assam-Burma and S Asia. ",Status changed
,Annonaceae ,,NEP00167,wfo-0000711294,Guatteria globosa A.DC.,,,,,,,,Spelling error corrected
,Annonaceae ,Miliusa Lesch. ex A.DC.,NEP00166,wfo-0000372713,Miliusa globosa (A.DC.) Panigrahi & S.C.Mishra,,,,,,,,
,Annonaceae ,,NEP00169,,Miliusa roxburghiana (Wall.) Hook.f. & Thomson,,,,,,,,
,Annonaceae ,,NEP00170,wfo-0000415892,Uvaria dioeca Roxb.,,,,,,,,
,Annonaceae ,,NEP00171,wfo-0000372967,Miliusa macrocarpa Hook.f. & Thomson,Fl. Ind. 1(2): 150. 1855.,sfnL sf7 ,Kali kath,E Nepal: 1200-1700 m. ,,,"Nepal, E Himalaya and Assam-Burma.",
,Annonaceae ,,NEP00172,wfo-0000372954,Miliusa tomentosa (Roxb.) J.Sinclair,Gard. Bull. Singapore 14: 378. 1955.,"s/L, sfnL","Kari, Kali",W Nepal: 100-1300 m.,,,S Asia. ,
,Annonaceae ,,NEP00173,wfo-0000416160,Uvaria tomentosa Roxb.,,,,,,,,
,Annonaceae ,,NEP00174,wfo-0000435437,Saccopetalum tomentosum (Roxb.) Hook.f. & Thomson,,,,,,,,
,Annonaceae ,,NEP00175,wfo-0000372950,Miliusa velutina (Dunal) Hook.f. & Thomson,Fl. Ind. 1. 151. 1855.,kfFb/L ,Pandari,"C, E Nepal: 100-500 m.",,,"Nepal, Assam-Burma, S Asia and SE Asia. ",
,Annonaceae ,,NEP00176,,Uvaria velutina Dunal,,,,,,,,
,Annonaceae ,Polyalthia Blume,NEP00177,wfo-0001066143,Polyalthia suberosa (Roxb.) Thwaites,Enum. Pl. Zeyl. 398. 1864.,jg ;'kf8L,Ban supadi,E Nepal: 100-200 m.,,,"Nepal, Assam-Burma, S Asia, E Asia and SE Asia.",
,Annonaceae ,,NEP00178,wfo-0001066301,Uvaria suberosa Roxb.,,,,,,,,
,Annonaceae ,Uvaria L.,NEP00179,wfo-0001066584,Uvaria hamiltonii Hook.f. & Thomson,Fl. Ind. 1: 96. 1855. ,"/a' nx/f, sfnL nx/f","Rabu lahara, Kali lahara","C, E Nepal: 300-600 m.",,,"Nepal, E Himalaya, Assam-Burma, S Asia and SE Asia. ",
LAURALES,Lauraceae ,Actinodaphne Nees,NEP00180,wfo-0000519390,Actinodaphne angustifolia (Blume) Nees,Pl. Asiat. Rar. 3: 31. 1832.,"emfFqmL sf7, nfDkft] ","Jhankri kath, Lampate","C, E Nepal: 400-1100 m.",,,"Nepal, E Himalaya and Assam-Burma. ",
,Lauraceae ,,NEP00181,wfo-0001070374,Litsea angustifolia Blume,,,,,,,,
,Lauraceae ,,NEP00182,wfo-1200010299,Tetranthera angustifolia (Blume) Nees,,,,,,,,
,Lauraceae ,,NEP00183,wfo-0000519474,Actinodaphne longipes Kosterm.,Reinwardtia 9: 98. 1974.,dl;gf] vk6],Masino khapate,"C, E Nepal: 1600-2600 m. ",,,"Nepal, E Himalaya and Assam-Burma.",
,Lauraceae ,,NEP00184,wfo-1200024890,Actinodaphne reticulata var. glabra Meisn.,,,,,,,,
,Lauraceae ,,NEP00185,wfo-0000519504,Actinodaphne obovata (Nees) Blume,Mus. Bot. 1(22): 342. 1851. ,,,"C, E Nepal: 300-1600 m. ",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia. ",
,Lauraceae ,,NEP00186,wfo-0001071668,Tetradenia obovata Nees,,,,,,,,
,Lauraceae ,,NEP00187,wfo-0000413359,Tetranthera obovata Buch.-Ham. ex Wall.,,,,,,,,
,Lauraceae ,,NEP00188,wfo-0000519529,Actinodaphne reticulata Meisn.,Prodr. 15(1): 212. 1864.,,,C Nepal: 2000-2700 m.,,,Nepal and Assam-Burma.,
,Lauraceae ,,NEP00189,wfo-0000519548,Actinodaphne sikkimensis Meisn.,Prodr. 15(1): 213. 1864.,vk6] ,Khapate,"C, E Nepal: 1500-2700 m. ",,,"Nepal, E Himalaya, Assam-Burma and SE Asia.",
,Lauraceae ,Beilschmiedia Nees,NEP00190,wfo-0000561970,Beilschmiedia lucidula (Miq.) Kosterm.,Reinwardtia 8: 23. 1970.,,,"C, E Nepal: 1000-2000 m.",,,"Nepal, E Himalaya, Assam-Burma, S Asia and SE Asia.",
,Lauraceae ,,NEP00191,wfo-0000628024,Cryptocarya lucidula Miq.,,,,,,,,
,Lauraceae ,,NEP00192,wfo-0000561897,Beilschmiedia gammieana King ex Hook.f.,,,,,,,,
,Lauraceae ,,NEP00193,wfo-0001070351,Beilschmiedia roxburghiana Nees,Pl. Asiat. Rar. 2: 69. 1831.,"7""nf] tfl;{Ë",Thulo tarsing,E Nepal: 200-400 m. ,,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia and SE Asia. ",
,Lauraceae ,,NEP00194,wfo-0000364342,Laurus bilocularis Roxb.,,,,,,,,
,Lauraceae ,Cinnamomum Schaeffer ,NEP00195,wfo-0000604917,Cinnamomum bejolghota (Buch.-Ham.) Sweet,Hort. Brit. 344. 1827. ,"l;GsfpnL, a8f l;Fuf]nL, dl/r] dfnflu/L","Sinkauli, Bada singoli, Mariche malagiri",E Nepal: 1200-2400 m.,,,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. ",
,Lauraceae ,,NEP00196,wfo-0001072221,Laurus bejolghota Buch.-Ham.,,,,,,,,
,Lauraceae ,,NEP00197,,Cinnamomum obtusifolium Roxb. ex Nees,,,,,,,,
,Lauraceae ,,NEP00198,wfo-0000605088,Cinnamomum glanduliferum (Wall.) Meisn.,Prodr. 15(1): 25. 1864. ,"l;GsfpnL, dfnflu/L, ;'uGw sf]lsnf","Sinkauli, Malagiri, Sugandha kokila","W, C, E Nepal: 700-2600 m.",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia. ",
,Lauraceae ,,NEP00199,wfo-0001072218,Laurus glandulifera Wall.,,,,,,,,
,Lauraceae ,,NEP00200,wfo-0000582955,Camphora glandulifera (Wall.) Nees,,,,,,,,Spelling error corrected
,Lauraceae ,,NEP00203,wfo-0000605129,Cinnamomum impressinervium Meisn.,Prodr. 15(1): 21. 1864.,,,"C, E Nepal: 1700-2100 m.",,,"Nepal, E Himalaya, Assam-Burma, S Asia and E Asia. ",
,Lauraceae ,,NEP00204,wfo-0000604861,Cinnamomum albiflorum Hook.f. & Thomson ex Meisn.,,,,,,,,
,Lauraceae ,,NEP00205,wfo-0000605467,Cinnamomum tamala (Buch.-Ham.) T.Nees & Eberm.,Handb. Med. Pharm. Bot. 2: 426. 1831.,t]hkft,Tejpat,"W, C, E Nepal: 400-2300 m. ",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. ",
,Lauraceae ,,NEP00206,wfo-0001072222,Laurus tamala Buch.-Ham.,,,,,,,,
,Lauraceae ,,NEP00207,wfo-0000604860,Cinnamomum albiflorum Nees,,,,,,,,
,Lauraceae ,,NEP00208,wfo-0000364326,Laurus albiflora Wall.,,,,,,,,
,Lauraceae ,,NEP00209,wfo-0000605474,Cinnamomum tenuipile Kosterm.,Reinwardtia 8: 74. 1970. ,;'uGw sf]lsnf,Sugandha kokila,"W, E Nepal: 90-2500 m. ",,,"Nepal, E Himalaya, Assam-Burma, E Asia and SE Asia.",
,Lauraceae ,,NEP00210,wfo-0000527458,Alseodaphne mollis W.W.Sm.,,,,,,,,
,Lauraceae ,Cryptocarya R.Br.,NEP00211,wfo-0000627764,Cryptocarya amygdalina Nees,Pl. Asiat. Rar. 2: 69. 1831. ,,,"C, E Nepal: 100-1600 m.",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia and SE Asia. ",
,Lauraceae ,,NEP00212,wfo-0000627906,Cryptocarya floribunda Nees,,,,,,,,
,Lauraceae ,,NEP00213,,"Laurus amygdalina Buch.-Ham. ex Wall., nom. nud.",,,,,,,,
,Lauraceae ,Dodecadenia Nees,NEP00214,wfo-0000652739,Dodecadenia grandiflora Nees,Pl. Asiat. Rar. 2: 63. 1831. ,"g]kfnL bfnlrgL, sfpn]","Nepali dalchini, Kaule","W, C, E Nepal: 600-3400 m. ",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia. ",
,Lauraceae ,,NEP00215,wfo-0000652740,Dodecadenia grandiflora var. griffithii (Hook.f.) D.G.Long,,,,,,,,
,Lauraceae ,,NEP00216,wfo-0000652741,Dodecadenia griffithii Hook.f. ,,,,,,,,
,Lauraceae ,,NEP00217,wfo-0000413389,Tetranthera grandiflora Wall.,,,,,,,,
,Lauraceae ,Lindera Thunb.,NEP00218,wfo-0001070755,Lindera assamica (Meisn.) Kurz,Forest Fl. Burma 2: 308. 1877. ,,,"C, E Nepal: 2000-2800 m. ",,,"Nepal, E Himalaya, Assam-Burma, S Asia and SE Asia. ",
,Lauraceae ,,NEP00219,wfo-0000539854,Aperula assamica Meisn.,,,,,,,,
,Lauraceae ,,NEP00220,wfo-0001070359,Lindera bootanica Meisn.,Prodr. 15(1): 245. 1864. ,,,E Nepal: 1800-2000 m. ,,,Nepal and E Himalaya.,
,Lauraceae ,,NEP00221,wfo-0001427106,Lindera venosa (Meisn.) Hook.f. ,,,,,,,,
,Lauraceae ,,NEP00222,wfo-0001070861,Lindera nacusua (D.Don) Merr.,Lingnan Sci. J. 15: 419. 1936.,kx]Fnf] vk6],Pahenlo khapate,"W, C, E Nepal: 1200-2700 m.",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, E Asia and SE Asia.",
,Lauraceae ,,NEP00223,wfo-0001071650,Laurus nacusua D.Don,,,,,,,,
,Lauraceae ,,NEP00224,wfo-1200024891,Laurus umbellata Buch.-Ham. ex Spreng.,,,,,,,,
,Lauraceae ,,NEP00226,wfo-0001070756,Lindera neesiana (Wall. ex Nees) Kurz,Forest Fl. Burma 2: 309. 1877. ,"l;n l6d'/, 7]sL k""mn","Sil timur, Theki phul","C, E Nepal: 800-2900 m. ",,,"Nepal, E Himalaya, Assam-Burma and E Asia. ",
,Lauraceae ,,NEP00227,wfo-0000562648,Benzoin neesianum Wall. ex Nees,,,,,,,,
,Lauraceae ,,NEP00228,wfo-1200026637,Tetranthera neesiana Wall.,,,,,,,,Spelling error corrected
,Lauraceae ,,NEP00229,wfo-0001071991,Lindera obtusiloba Blume var. heterophylla (Meisn.) H.P.Tsui,Fl. Reipubl. Popularis Sin. 31: 416. 1982. ,,,"C, E Nepal: 1900-3200 m.",,,"Nepal, E Himalaya, Tibetan Plateau and E Asia.",
,Lauraceae ,,NEP00230,wfo-0001070361,Lindera heterophylla Meisn.,,,,,,,,
,Lauraceae ,,NEP00231,wfo-0000519417,Actinodaphne confertiflora Meisn.,,,,,,,,
,Lauraceae ,,NEP00233,wfo-0001071996,Lindera pulcherrima (Nees) Benth. ex Hook.f.,Fl. Brit. India 5: 185. 1886. ,"k'm;'/], v/fg]","Fusure), Kharane","W, C, E Nepal: 700-3600 m.",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, E Asia and SE Asia. ",
,Lauraceae ,,NEP00234,wfo-0000637988,Daphnidium pulcherrimum Nees,,,,,,,,
,Lauraceae ,,NEP00235,wfo-0001071997,Lindera pulcherrima var. attenuata C.K.Allen ,,,,,,,,
,Lauraceae ,,NEP00236,wfo-0001072317,Tetranthera pulcherrima Wall.,,,,,,,,
,Lauraceae ,Litsea Lam.,NEP00237,wfo-0000365274,Litsea chartacea (Wall. ex Nees) Hook.f.,Fl. Brit. India 5: 170. 1886.,,,C Nepal: 1500-1800 m.,,,"Nepal, E Himalaya, Assam-Burma and SE Asia. ",
,Lauraceae ,,NEP00238,wfo-0000413552,Tetranthera chartacea Wall. ex Nees,,,,,,,,
,Lauraceae ,,NEP00239,wfo-0000365367,Litsea cubeba (Lour.) Pers.,Syn. Pl. 2(1): 4. 1806. ,l;n l6d'/,Sil timur,"C, E Nepal: 1000-2700 m.",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia.",
,Lauraceae ,,NEP00240,wfo-0000364432,Laurus cubeba Lour.,,,,,,,,
,Lauraceae ,,NEP00241,wfo-0000465203,Persea cubeba (Lour.) Spreng.,,,,,,,,
,Lauraceae ,,NEP00242,wfo-1200026747,Tetranthera polyantha Wall. ex Nees,,,,,,,,
,Lauraceae ,,NEP00243,wfo-0000365304,Litsea doshia (D.Don) Kosterm.,J. Sci. Res. (Jakarta) 1: 90. 1952. ,"kx]FnL, sf7] sfpnf]","Pahenli, Kathe kaulo","W, C, E Nepal: 300-2900 m.",,,Nepal and E Himalaya.,
,Lauraceae ,,NEP00244,wfo-0000413363,Tetranthera doshia D.Don,,,,,,,,
,Lauraceae ,,NEP00245,,Litsea oblonga (Wall. ex Nees) Hook.f.,,,,,,,,
,Lauraceae ,,NEP00246,wfo-1200026633,Tetranthera oblonga Wall. ex Nees,,,,,,,,
,Lauraceae ,,NEP00248,wfo-0001070382,Litsea elongata (Nees) Hook.f.,Fl. Brit. India. 5: 165. 1886.,,,"C, E Nepal: 1500-3700 m. ",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, E Asia and SE Asia.",
,Lauraceae ,,NEP00249,wfo-0000637975,Daphnidium elongatum Nees,,,,,,,,
,Lauraceae ,,NEP00250,,Tetranthera elongata Wall. nom. nud.,,,,,,,,
,Lauraceae ,,NEP00251,wfo-0000365695,Litsea glutinosa (Lour.) C.B.Rob.,"Philipp. J. Sci., C 6: 321. 1911.",d]bf,Meda,"C, E Nepal: 100-1700 m. ",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia and Australasia. ",
,Lauraceae ,,NEP00252,wfo-0000498959,Sebifera glutinosa Lour.,,,,,,,,
,Lauraceae ,,NEP00253,wfo-0000413461,Tetranthera polycephala Wall. ex Meisn.,,,,,,,,
,Lauraceae ,,NEP00254,wfo-0000365726,Litsea hookeri (Meisn.) D.G.Long,Notes Roy. Bot. Gard. Edinburgh 41(3): 510. 1984. ,,,"C, E Nepal: 200-900 m. ",,,"Nepal, E Himalaya, Assam-Burma and SE Asia.",
,Lauraceae ,,NEP00255,wfo-0000632262,Cylicodaphne hookeri Meisn.,,,,,,,,
,Lauraceae ,,NEP00256,wfo-0000365666,Litsea khasyana Meisn. ,,,,,,,,
,Lauraceae ,,NEP00257,wfo-0000413322,Tetranthera khasyana Meisn.,,,,,,,,
,Lauraceae ,,NEP00258,wfo-0001070298,Litsea kingii Hook.f.,Fl. Brit. India 5: 156. 1886. ,,,E Nepal: 1900-2900 m. ,,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia. ",
,Lauraceae ,,NEP00259,wfo-0000365805,Litsea monopetala (Roxb.) Pers.,Syn. Pl. 2(1): 4. 1806.,"s'6ld/f], sbd]/f]","Kutmiro, Kadmero","W, C, E Nepal: 80-2100 m. ",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. ",
,Lauraceae ,,NEP00260,wfo-0000413333,Tetranthera monopetala Roxb.,,,,,,,,
,Lauraceae ,,NEP00261,wfo-0000365506,Litsea polyantha Juss.,,,,,,,,
,Lauraceae ,,NEP00262,wfo-0000413468,Tetranthera quadriflora Roxb.,,,,,,,,
,Lauraceae ,,NEP00263,wfo-0001070307,Litsea panamanja (Buch.-Ham. ex Nees) Hook.f.,Fl. Brit. India 5: 175. 1886.,,,E Nepal: 700-800 m. ,,,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia.",
,Lauraceae ,,NEP00264,wfo-0001071893,Tetranthera panamanja Buch.-Ham. ex Nees,,,,,,,,
,Lauraceae ,,NEP00266,wfo-0001070313,Litsea salicifolia (Roxb. ex Nees) Hook.f.,Fl. Brit. India 5: 167. 1886.,kx]FnL,Pahenli,"C, E Nepal: 100-1700 m. ",,,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. ",
,Lauraceae ,,NEP00267,wfo-0001266101,Tetranthera salicifolia Roxb. ex Nees,,,,,,,,
,Lauraceae ,,NEP00268,wfo-0000745876,Tetranthera glauca Wall. ex Nees,,,,,,,,
,Lauraceae ,,NEP00269,wfo-0001070314,Litsea sericea (Wall. ex Nees) Hook.f.,Fl. Brit. India 5: 156. 1886. ,kx]Fn],Pahenle,"C, E Nepal: 1300-3900 m.",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia. ",
,Lauraceae ,,NEP00270,wfo-1000041326,Tetranthera sericea Wall. ex Nees,,,,,,,,
,Lauraceae ,Machilus Nees ,NEP00271,wfo-0000373703,Machilus clarkeana King ex Hook.f.,Fl. Brit. India 5: 137. 1886.,;]tf] sfpnf],Seto kaulo,"W, C, E Nepal: 100-2900 m. ",,,"Nepal, E Himalaya and Assam-Burma. ",
,Lauraceae ,,NEP00272,,Machilus gammieana King ex Hook.f.,,,,,,,,
,Lauraceae ,,NEP00273,wfo-0000465188,Persea clarkeana (King ex Hook.f.) Kosterm. ,,,,,,,,
,Lauraceae ,,NEP00274,,Persea gammieana (Hook.f.) Kosterm. ,,,,,,,,
,Lauraceae ,,NEP00275,wfo-0001071296,Machilus duthiei King ex Hook.f.,Fl. Brit. India 5: 861. 1890.,"sf7] sfpnf], dflxnf] sfpnf]","Kathe kaulo, Mahilo kaulo","W, C, E Nepal: 1500-3200 m.",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau and E Asia. ",
,Lauraceae ,,NEP00276,wfo-0001070991,Persea duthiei (King ex Hook.f.) Kosterm. ,,,,,,,,
,Lauraceae ,,NEP00277,wfo-0001071297,Machilus gamblei King ex Hook.f.,Fl. Brit. India 5. 138. 1886.,"lrKn] sfpnf], sf7] sfpnf]","Chiple kaulo, Kathe kaulo","W, C, E Nepal: 100-2400 m. ",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia. ",
,Lauraceae ,,NEP00278,wfo-0001070984,Persea bombycina (King ex Hook.f.) Kosterm. ,,,,,,,,
,Lauraceae ,,NEP00279,wfo-0001070993,Persea gamblei (King ex Hook.f.) Kosterm. ,,,,,,,,
,Lauraceae ,,NEP00280,wfo-0001285957,Machilus glaucescens (Nees) Wight,Icon. Pl. Ind. Orient. 5(2): 12. 1852.,,,"C, E Nepal: 100-2400 m. ",,,"Nepal, E Himalaya, Assam-Burma, S Asia and E Asia.",
,Lauraceae ,,NEP00281,wfo-0001070498,Ocotea glaucescens Nees,,,,,,,,
,Lauraceae ,,NEP00282,wfo-0001071599,Persea glaucescens (Nees) D.G.Long,,,,,,,,
,Lauraceae ,,NEP00283,wfo-0001071023,Persea villosa (Roxb.) Kosterm. ,,,,,,,,
,Lauraceae ,,NEP00284,wfo-0001070424,Phoebe glaucescens (Nees) Nees,,,,,,,,
,Lauraceae ,,NEP00285,wfo-0001071298,Machilus odoratissima Nees,Pl. Asiat. Rar. 2: 70. 1831.,"ef6] sfpnf], ;]tf] sfpnf]","Bhate kaulo, Seto kaulo","W, C, E Nepal: 300-2200 m. ",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia and SE Asia. ",
,Lauraceae ,,NEP00286,,Laurus odoratissimum Wall.,,,,,,,,
,Lauraceae ,,NEP00287,wfo-0001070934,Persea odoratissima (Nees) Kosterm. ,,,,,,,,
,Lauraceae ,,NEP00288,wfo-0000373759,Machilus pubescens Blume,Mus. Bot. Lugd.-Bat. 1(21): 330. 1851.,,,C Nepal: 100-2500 m.,,,Endemic to Nepal. ,
,Lauraceae ,,NEP00289,wfo-0000465212,Persea blumei Kosterm. ,,,,,,,,
,Lauraceae ,,NEP00290,wfo-0000373769,Machilus sericea (Nees) Blume,Mus. Bot. 1: 330. 1851. ,,,"W, C Nepal: 200-2500 m. ",,,Nepal and E Himalaya.,
,Lauraceae ,,NEP00291,wfo-0000466028,Phoebe sericea Nees,,,,,,,,
,Lauraceae ,,NEP00292,wfo-0000465883,Persea wallichii D.G.Long ,,,,,,,,
